date,excellent,fair,good,link,product_id,product_name,rating,reviews
27_Oct_22,230.00,189.38,217.45,https://www.backmarket.co.uk/en-gb/p/iphone-xr-64-gb-blue-unlocked/1c738771-4d39-4acf-9b54-52e0a3fad0df,iPhone XR 64 GB - Blue - Unlocked,iPhone XR,4.5/5,(727 reviews)
27_Oct_22,223.68,211.00,214.99,https://www.backmarket.co.uk/en-gb/p/iphone-xr-64-gb-yellow-unlocked/b75f5a6b-7ec9-4d8f-97ff-578b1e86fa68,iPhone XR 64 GB - Yellow - Unlocked,iPhone XR,4.5/5,(727 reviews)
27_Oct_22,215.11,187.64,192.38,https://www.backmarket.co.uk/en-gb/p/iphone-xr-64-gb-coral-unlocked/2e06a8bc-4b47-4917-bc32-9a29a68101af,iPhone XR 64 GB - Coral - Unlocked,iPhone XR,4.5/5,(727 reviews)
27_Oct_22,237.58,188.20,195.18,https://www.backmarket.co.uk/en-gb/p/iphone-xr-64-gb-productred-unlocked/ce6d33be-f0d3-42bc-84f3-c69c416ba32e,iPhone XR 64 GB - (Product)Red - Unlocked,iPhone XR,4.5/5,(727 reviews)
27_Oct_22,302.75,253.39,293.80,https://www.backmarket.co.uk/en-gb/p/iphone-11-64-gb-yellow-unlocked/7ef0a33a-f74f-49e9-aa3d-6611d4d43ead,iPhone 11 64 GB - Yellow - Unlocked,iPhone 11,4.3/5,"(1,584 reviews)"
27_Oct_22,329.00,291.48,314.00,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-64-gb-silver-unlocked/fd9cd306-42bd-4422-a221-11a5d277c5d7,iPhone 11 Pro 64 GB - Silver - Unlocked,iPhone 11 Pro,4.1/5,(394 reviews)
27_Oct_22,329.00,284.60,303.00,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-64-gb-gold-unlocked/4142377d-80f1-4670-8f4e-fab0b6fdffd4,iPhone 11 Pro 64 GB - Gold - Unlocked,iPhone 11 Pro,4.1/5,(394 reviews)
27_Oct_22,391.54,335.40,376.50,https://www.backmarket.co.uk/en-gb/p/iphone-12-64-gb-green-unlocked/e86cdb2d-f126-4548-b5c1-967c4a7446a0,iPhone 12 64 GB - Green - Unlocked,iPhone 12,4.3/5,(410 reviews)
27_Oct_22,399.00,336.43,379.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-64-gb-white-unlocked/5bb9357f-92ed-4b5a-ae83-76a9c983f11a,iPhone 12 64 GB - White - Unlocked,iPhone 12,4.3/5,(410 reviews)
27_Oct_22,399.00,360.01,376.34,https://www.backmarket.co.uk/en-gb/p/iphone-12-64-gb-purple-unlocked/8a7c1cc3-2288-425b-aca1-ef05100414a0,iPhone 12 64 GB - Purple - Unlocked,iPhone 12,4.3/5,(411 reviews)
27_Oct_22,391.42,347.65,377.38,https://www.backmarket.co.uk/en-gb/p/iphone-12-64-gb-productred-unlocked/af874b95-0a58-4efa-b0f4-cd020fed146b,iPhone 12 64 GB - (Product)Red - Unlocked,iPhone 12,4.3/5,(411 reviews)
27_Oct_22,149.95,102.00,120.94,https://www.backmarket.co.uk/en-gb/p/iphone-7-128-gb-silver-unlocked/926d06ec-42f5-474a-b6ff-2a79118e21c6,iPhone 7 128 GB - Silver - Unlocked,iPhone 7,4.2/5,(286 reviews)
27_Oct_22,920.00,No data,809.99,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-gold-unlocked/6283d6f1-7102-43f0-a884-c2615b13d96d,iPhone 13 Pro Max 128 GB - Gold - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,328.47,257.00,289.99,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-256-gb-gold-unlocked/49cee1e1-222d-4b48-853a-cfdc351a716e,iPhone XS Max 256 GB - Gold - Unlocked,iPhone XS Max,4.3/5,(138 reviews)
