date,excellent,fair,good,link,product_id,product_name,provider,rating,reviews
31_Oct_22,197.92,158.41,190.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-64-gb-gold-unlocked/c1604b3a-f63e-46ca-974d-2eb9ea085b78,iPhone 8 Plus 64 GB - Gold - Unlocked,iPhone 8 Plus,Buyur,4.4,181
31_Oct_22,236.00,153.52,255.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-256-gb-space-gray-unlocked/8fb257cd-491d-458f-95ea-c02eba4126d0,iPhone 8 256 GB - Space Gray - Unlocked,iPhone 8,WJD Repairs,4.4,486
31_Oct_22,186.00,220.85,194.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-256-gb-gold-unlocked/e95f1314-66c4-4caf-b41b-f47b25a2b259,iPhone 8 256 GB - Gold - Unlocked,iPhone 8,GoodBuyTech,4.4,486
31_Oct_22,193.41,186.25,188.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-256-gb-silver-unlocked/71192399-bfe2-428b-ad1e-8255e5025141,iPhone 8 256 GB - Silver - Unlocked,iPhone 8,musicMagpie,4.4,486
31_Oct_22,399.37,356.23,375.64,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-64-gb-space-gray-unlocked/57a443a0-5117-4d98-9147-19161f6e99c3,iPhone 11 Pro Max 64 GB - Space Gray - Unlocked,iPhone 11 Pro Max,musicMagpie,4.2,320
31_Oct_22,201.35,159.92,201.32,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-64-gb-productred-unlocked/c528f48f-b88c-41e4-9d41-085c47aeb04e,iPhone 8 Plus 64 GB - (Product)Red - Unlocked,iPhone 8 Plus,Stock Must Go Ltd,4.4,180
31_Oct_22,360.00,Sold out,400.00,https://www.backmarket.co.uk/en-gb/p/iphone-se-2022-64-gb-productred-unlocked/8f18cc1f-25de-41ca-a9ad-181eb590b818,iPhone SE (2022) 64 GB - Red - Unlocked,iPhone SE (2022),JFX GLOBAL LTD,4.4,35
31_Oct_22,459.10,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-se-2022-256-gb-productred-unlocked/dd075485-46e6-4c27-b7b7-400ab2ef7172,iPhone SE (2022) 256 GB - (Product)Red - Unlocked,iPhone SE (2022),(NI) Britain Tech Ltd,4.4,35
31_Oct_22,441.00,328.43,394.81,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-64-gb-silver-unlocked/b4be0170-a82a-484f-ac40-bd0567d2926f,iPhone 11 Pro Max 64 GB - Silver - Unlocked,iPhone 11 Pro Max,Stock Must Go Ltd,4.2,320
31_Oct_22,Sold out,Sold out,380.00,https://www.backmarket.co.uk/en-gb/p/iphone-se-2022-128-gb-starlight-unlocked/6bfebcd6-5bf0-4f2f-aaf9-5425b79aad2c,iPhone SE (2022) 128 GB - Starlight - Unlocked,iPhone SE (2022),(NI) Britain Tech Ltd,4.4,35
