date,product_name,product_id,storage,color,link,fair,good,excellent,rating,reviews,provider,provider_link
21_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 128 GB - Alpine Green - Unlocked,128,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-alpine-green-unlocked/5fc4224f-0179-4e41-b0e3-d88a9ce09611,849,899,-1,4.5,154,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab
21_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 256 GB - Alpine Green - Unlocked,256,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-256-gb-alpine-green-unlocked/526009f8-468a-4d78-a465-d381fb01f6b5,-1,-1,"1,128.13",4.5,154,(NI) Britain Tech Ltd,https://www.backmarket.co.uk/en-gb/s/ni-britain-tech-ltd/dbe4c2c5-4300-4645-b103-1989a366b47c
21_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 512 GB - Alpine Green - Unlocked,512,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-graphite-unlocked/4e29c42d-727c-4beb-a425-be0187a211e9,-1,"1,259.00","1,249.00",4.5,154,Getmobiles.co.uk,https://www.backmarket.co.uk/en-gb/s/getmobilescouk/396ef722-a3a2-40ae-9a60-87ae50a3df99
21_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 1000 GB - Graphite - Unlocked,1000,Graphite,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-graphite-unlocked/bbafec5a-2bb4-4d1a-94da-7889b0295c67,"1,029.00","1,019.89","1,205.90",4.5,154,Mazuma,https://www.backmarket.co.uk/en-gb/s/mazuma/47fc1be5-f8f6-4a6a-95d7-acccf733cc00
21_Nov_22,iPhone 6S,iPhone 6S 16 GB - Gold - Unlocked,16,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-6s-16-gb-gold-unlocked/bb49fecc-745a-4f4a-8999-d026a9c085c7,-1,-1,149,4.2,74,Refurb Phone,https://www.backmarket.co.uk/en-gb/s/refurb-phone/fa746e25-afeb-452a-9b41-b8f41ea70575
21_Nov_22,iPhone 6S,iPhone 6S 32 GB - Gold - Unlocked,32,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-gold-unlocked/512d21ff-a3e0-4b61-810f-9c5ada85f4bc,-1,138,-1,4.2,74,Refurb Phone,https://www.backmarket.co.uk/en-gb/s/refurb-phone/fa746e25-afeb-452a-9b41-b8f41ea70575
21_Nov_22,iPhone 6S,iPhone 6S 64 GB - Gold - Unlocked,64,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-6s-64-gb-gold-unlocked/5e793112-342c-43da-8349-b096cecf7b97,-1,-1,178,4.2,74,Want a New Gadget,https://www.backmarket.co.uk/en-gb/s/want-a-new-gadget/327dc091-b378-4cc8-9034-5ab83a1232fb
21_Nov_22,iPhone 6S,iPhone 6S 128 GB - Gold - Unlocked,128,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-6s-128-gb-gold-unlocked/2dcb2845-131d-4892-942b-fe2357ca5f27,-1,150,-1,4.2,74,Cell Market Ltd,https://www.backmarket.co.uk/en-gb/s/cell-market-ltd/15d522d9-088e-4e58-a022-7813844a0ce2
21_Nov_22,iPhone 12 Pro Max,iPhone 12 Pro Max 128 GB - Silver - Unlocked,128,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-128-gb-silver-unlocked/9b830725-94d9-41b6-938d-f144ffb96729,495.04,558.9,670,4.2,195,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab
21_Nov_22,iPhone 12 Pro Max,iPhone 12 Pro Max 256 GB - Silver - Unlocked,256,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-256-gb-silver-unlocked/2fe78a92-80e2-4beb-a110-6bed225cbf6f,555.16,604.69,911.5,4.2,195,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab
21_Nov_22,iPhone 12 Pro Max,iPhone 12 Pro Max 512 GB - Silver - Unlocked,512,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-512-gb-silver-unlocked/6a35927c-b9db-4492-bd38-1ceb19c3e9cc,647.69,646.24,"1,041.13",4.2,195,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
21_Nov_22,iPhone 8,iPhone 8 64 GB - Silver - Unlocked,64,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-8-64-gb-silver-unlocked/4775d225-bddf-44a1-8e86-e358e0706502,139,145,141.82,4.4,461,SmartFoneStoreUK,https://www.backmarket.co.uk/en-gb/s/smartfonestoreuk/b4aca31f-556b-472b-b737-206a2d1d9a82
