date,product_name,product_id,storage,color,link,fair,good,excellent,rating,reviews,provider,provider_link
11_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 128 GB - Alpine Green - Unlocked,128,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-alpine-green-unlocked/5fc4224f-0179-4e41-b0e3-d88a9ce09611,840.00,860.00,"1,009.00",4.5,140,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
11_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 256 GB - Alpine Green - Unlocked,256,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-256-gb-alpine-green-unlocked/526009f8-468a-4d78-a465-d381fb01f6b5,-1,-1,960.00,4.5,140,Click and Get,https://www.backmarket.co.uk/en-gb/s/click-and-get/5a1669b3-fee2-476c-81fd-8cf959ff36ae
11_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 512 GB - Alpine Green - Unlocked,512,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-graphite-unlocked/4e29c42d-727c-4beb-a425-be0187a211e9,-1,"1,259.00","1,249.00",4.5,140,Getmobiles.co.uk,https://www.backmarket.co.uk/en-gb/s/getmobilescouk/396ef722-a3a2-40ae-9a60-87ae50a3df99
11_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 1000 GB - Graphite - Unlocked,1000,Graphite,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-graphite-unlocked/bbafec5a-2bb4-4d1a-94da-7889b0295c67,900.57,"1,118.00","1,217.00",4.5,140,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
11_Nov_22,iPhone 13,iPhone 13 128 GB - Blue - Unlocked,128,Blue,https://www.backmarket.co.uk/en-gb/p/iphone-13-128-gb-blue-unlocked/e4d4b68e-9dec-438d-be52-d348924bfe62,563.00,614.21,655.12,4.6,126,Want a New Gadget,https://www.backmarket.co.uk/en-gb/s/want-a-new-gadget/327dc091-b378-4cc8-9034-5ab83a1232fb
11_Nov_22,iPhone 13,iPhone 13 256 GB - Blue - Unlocked,256,Blue,https://www.backmarket.co.uk/en-gb/p/iphone-13-256-gb-blue-unlocked/f72a3516-f868-4dda-bab3-0a44284ba101,685.00,-1,859.00,4.6,126,Uber Link Ltd,https://www.backmarket.co.uk/en-gb/s/uber-link-ltd/616e236f-a83e-46c0-827d-c05f4740b8fa
11_Nov_22,iPhone 13,iPhone 13 512 GB - Blue - Unlocked,512,Blue,https://www.backmarket.co.uk/en-gb/p/iphone-13-512-gb-blue-unlocked/d505f4c1-eaac-42be-9ef8-cc4d1a2862ee,-1,-1,871.00,4.6,126,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
11_Nov_22,iPhone 13,iPhone 13 128 GB - Pink - Unlocked,128,Pink,https://www.backmarket.co.uk/en-gb/p/iphone-13-128-gb-pink-unlocked/d1989098-648d-490e-a719-7c4b6ab8b1ae,587.38,599.61,641.81,4.6,126,Mazuma,https://www.backmarket.co.uk/en-gb/s/mazuma/47fc1be5-f8f6-4a6a-95d7-acccf733cc00
11_Nov_22,iPhone 13,iPhone 13 256 GB - Pink - Unlocked,256,Pink,https://www.backmarket.co.uk/en-gb/p/iphone-13-256-gb-pink-unlocked/47564ee1-e2df-45fe-aa2e-2ce197775187,710.00,-1,677.39,4.6,126,RECOMM,https://www.backmarket.co.uk/en-gb/s/recomm/d003de62-1b23-468c-bf96-663b06eeafff
11_Nov_22,iPhone 13,iPhone 13 512 GB - Pink - Unlocked,512,Pink,https://www.backmarket.co.uk/en-gb/p/iphone-13-512-gb-pink-unlocked/45d1d91f-70d4-4ffc-bb26-6a28b558d4f6,999.00,829.30,-1,4.6,126,SmartFoneStoreUK,https://www.backmarket.co.uk/en-gb/s/smartfonestoreuk/b4aca31f-556b-472b-b737-206a2d1d9a82
