date,excellent,fair,good,link,product_id,product_name,rating,reviews
28_Oct_22,102.23,90.00,79.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-rose-gold-unlocked/c921afde-91f5-48e8-8e48-b44b3d29db57,iPhone 6S 32 GB - Rose Gold - Unlocked,iPhone 6S,4.2,78 reviews
28_Oct_22,96.00,82.92,77.42,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-space-gray-unlocked/c0b51739-72ea-4a79-91b3-72e1b52d0c08,iPhone 6S 32 GB - Space Gray - Unlocked,iPhone 6S,4.2,78 reviews
28_Oct_22,858.91,786.08,836.91,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-512-gb-graphite-unlocked/8c24e75f-8ee4-4c25-8e36-bb1a666747b8,iPhone 13 Pro 512 GB - Graphite - Unlocked,iPhone 13 Pro,4.5,131 reviews
28_Oct_22,95.00,95.00,,https://www.backmarket.co.uk/en-gb/p/iphone-6s-16-gb-rose-gold-unlocked/0c4d277e-352a-4783-aec1-ceece27a5910,iPhone 6S 16 GB - Rose Gold - Unlocked,iPhone 6S,4.2,78 reviews
28_Oct_22,102.00,78.46,90.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-16-gb-space-gray-unlocked/7c13a280-6e76-4521-a501-b593987052b7,iPhone 6S 16 GB - Space Gray - Unlocked,iPhone 6S,4.2,78 reviews
28_Oct_22,,117.91,128.51,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-32-gb-rose-gold-unlocked/7399e6ff-6f1b-4af3-8c17-01b5bfe7436d,iPhone 7 Plus 32 GB - Rose Gold - Unlocked,iPhone 7 Plus,4.2,96 reviews
28_Oct_22,126.18,114.79,110.26,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-32-gb-black-unlocked/84d1b8f7-2efa-4ff5-810b-e75032ed8bad,iPhone 7 Plus 32 GB - Black - Unlocked,iPhone 7 Plus,4.2,96 reviews
28_Oct_22,576.00,439.99,526.45,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-512-gb-midnight-green-unlocked/de23fce1-f9b7-4963-a047-91c829019ee8,iPhone 11 Pro Max 512 GB - Midnight Green - Unlocked,iPhone 11 Pro Max,4.2,322 reviews
28_Oct_22,579.40,459.99,501.53,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-512-gb-space-gray-unlocked/d669d61e-c332-4538-a53d-33b5d7584c9b,iPhone 11 Pro Max 512 GB - Space Gray - Unlocked,iPhone 11 Pro Max,4.2,322 reviews
28_Oct_22,90.06,,79.99,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-silver-unlocked/e85309d3-0081-48ba-9259-ad8f367ed4ae,iPhone 6S 32 GB - Silver - Unlocked,iPhone 6S,4.2,78 reviews
28_Oct_22,680.13,630.90,710.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-512-gb-graphite-unlocked/1787a25d-e729-4025-b051-2003950a01f7,iPhone 12 Pro Max 512 GB - Graphite - Unlocked,iPhone 12 Pro Max,4.2,180 reviews
28_Oct_22,310.00,265.00,269.99,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-64-gb-silver-unlocked/c947c66c-faf1-466b-946a-9d897e26e339,iPhone XS Max 64 GB - Silver - Unlocked,iPhone XS Max,4.3,138 reviews
28_Oct_22,,361.00,520.00,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-512-gb-space-gray-unlocked/c7bfaa97-3c78-4842-95c9-228c6d29201e,iPhone XS Max 512 GB - Space Gray - Unlocked,iPhone XS Max,4.3,138 reviews
28_Oct_22,740.00,628.62,693.06,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-512-gb-pacific-blue-unlocked/926ba1db-b513-44b5-bf6a-61c3206f3ad9,iPhone 12 Pro Max 512 GB - Pacific Blue - Unlocked,iPhone 12 Pro Max,4.2,180 reviews
28_Oct_22,"1,200.00",,,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-graphite-unlocked/bbafec5a-2bb4-4d1a-94da-7889b0295c67,iPhone 13 Pro Max 1000 GB - Graphite - Unlocked,iPhone 13 Pro Max,4.5,115 reviews
28_Oct_22,82.09,,100.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-gold-unlocked/512d21ff-a3e0-4b61-810f-9c5ada85f4bc,iPhone 6S 32 GB - Gold - Unlocked,iPhone 6S,4.2,78 reviews
28_Oct_22,106.26,79.71,94.76,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-silver-unlocked/3d20d778-53d0-4c6d-aea0-41ff3d347ee5,iPhone 7 32 GB - Silver - Unlocked,iPhone 7,4.2,286 reviews
28_Oct_22,109.95,86.27,91.66,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-gold-unlocked/3a555d3b-a7ec-49f2-a3f4-a0627fcbdd4a,iPhone 7 32 GB - Gold - Unlocked,iPhone 7,4.2,286 reviews
28_Oct_22,104.82,82.00,90.25,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-rose-gold-unlocked/34a86639-944c-4a33-9b45-c985017c7508,iPhone 7 32 GB - Rose Gold - Unlocked,iPhone 7,4.2,286 reviews
28_Oct_22,110.19,97.00,113.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-jet-black-unlocked/ebd1cb3a-a6b9-4d97-88de-ea457aab0a70,iPhone 7 32 GB - Jet Black - Unlocked,iPhone 7,4.2,286 reviews
28_Oct_22,,,380.00,https://www.backmarket.co.uk/en-gb/p/iphone-se-2022-128-gb-starlight-unlocked/6bfebcd6-5bf0-4f2f-aaf9-5425b79aad2c,iPhone SE (2022) 128 GB - Starlight - Unlocked,iPhone SE (2022),4.4,35 reviews
